Posicao,acao,PL,cotacao,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PACL,EVEBIT,EVEBITDA,MrgEbit,MrgLiq,LiqCorr,ROIC,ROE,Liq2meses,PatLiq,DivBrutPat,Cresc5anos
271,EQMA3B,8.58,43.00,2.18,1.581,0.1388,0.956,4.48,6.33,-5.30,7.05,5.96,0.2497,0.1841,2.27,0.1921,0.2537,12855.90,3241580000.00,0.61,0.0742
272,SANB11,8.70,35.29,1.67,0.000,0.0652,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1917,107393000.00,79338900000.00,0.00,0.0642
273,DXCO3,8.71,16.56,2.03,1.545,0.0452,0.963,6.73,8.24,-5.68,9.52,6.35,0.1875,0.1774,1.68,0.1488,0.2325,54263200.00,5654440000.00,0.55,0.1567
274,JPSA3,8.76,26.07,1.26,3.284,0.0044,0.316,2.19,8.61,-1.09,15.99,10.21,0.3813,0.7015,2.82,0.045,0.1441,10037200.00,1816280000.00,1.81,0.0057
275,PSSA3,8.76,23.81,1.65,0.782,0.0608,0.406,4.43,0.98,-4.42,0.39,0.38,0.7998,0.0893,1.16,0.5498,0.1884,80900100.00,9333190000.00,0.00,0.0404
276,FRTA3,8.87,5.60,-0.17,0.937,0.00,0.320,-0.15,-174.25,-0.12,-1149.52,114.26,-0.0054,0.1057,0.08,-0.0021,-0.0196,73664.30,-66288000.00,-0.98,-0.321
277,BRIV4,8.87,8.30,0.47,0.000,0.0724,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0532,10532.80,1556890000.00,0.00,0.364
278,SHUL4,8.97,8.87,1.99,1.106,0.0246,0.838,2.05,12.41,10.56,15.32,11.41,0.0891,0.1232,2.65,0.0924,0.2214,3774930.00,797717000.00,0.94,0.209
279,VIIA3,9.00,6.97,1.77,0.341,0.00,0.333,-15.50,4.33,-1.34,7.12,5.23,0.0786,0.0379,0.96,0.1058,0.1963,322220000.00,6306000000.00,1.51,0.0666
280,JALL3,9.00,9.26,2.19,2.164,0.015,0.770,2.37,4.59,-5.42,5.59,3.31,0.4715,0.2404,2.80,0.2607,0.2428,6035860.00,1248260000.00,1.43,0.00
281,POMO4,9.08,2.63,0.93,0.706,0.0342,0.402,1.74,32.28,-7.75,46.29,19.75,0.0219,0.075,1.84,0.0163,0.1022,11104900.00,2682500000.00,0.80,0.0616
282,SANB4,9.11,18.48,1.75,0.000,0.0652,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1917,985158.00,79338900000.00,0.00,0.0642
283,BBDC4,9.12,20.45,1.36,0.000,0.0566,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1487,984222000.00,146488000000.00,0.00,0.2919
284,ITUB4,9.22,23.54,1.70,0.000,0.0298,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1841,1134490000.00,136042000000.00,0.00,-0.2812
285,ESPA3,9.40,10.10,3.52,3.230,0.0141,1.271,57.50,9.20,-5.25,10.93,8.82,0.3512,0.3483,1.06,0.1524,0.3739,26240400.00,701700000.00,0.89,0.00
286,EKTR3,9.41,36.52,2.61,0.938,0.0882,0.733,24.23,5.64,-1.81,8.34,6.85,0.1663,0.0997,1.11,0.1506,0.2778,2093.05,2708000000.00,1.47,0.096
287,EALT3,9.50,11.80,1.43,0.939,0.0236,0.607,13.61,11.02,-3.60,14.07,9.53,0.0852,0.0989,1.12,0.06,0.1506,5641.28,185711000.00,0.46,0.2044
288,EZTC3,9.52,19.78,1.05,4.413,0.0214,0.919,2.23,18.18,2.51,13.93,13.62,0.2427,0.4794,7.38,0.0655,0.1102,56723700.00,4283410000.00,0.00,0.1623
289,REDE3,9.57,6.60,3.79,1.074,0.1204,0.605,9.95,5.19,-1.27,7.36,5.94,0.207,0.1551,1.26,0.138,0.3962,13853.40,3674760000.00,2.23,0.1072
290,AGRO3,9.66,29.96,1.41,2.513,0.00,0.895,2.79,7.36,5.95,6.89,5.45,0.3414,0.2602,2.66,0.191,0.1455,24371100.00,2182600000.00,0.40,0.5511
291,SBSP3,9.67,35.68,1.01,1.311,0.0112,0.479,-90.01,5.70,-1.15,8.87,5.90,0.2299,0.1357,0.95,0.0896,0.105,111701000.00,24037200000.00,0.69,0.0716
292,SLCE3,9.71,46.30,2.42,1.714,0.0269,0.872,4.11,5.95,-5.78,6.90,6.34,0.288,0.1884,1.85,0.1752,0.249,66127600.00,3699590000.00,0.73,0.2542
293,BRIV3,9.84,9.20,0.52,0.000,0.0021,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0532,914.86,1556890000.00,0.00,0.364
294,ELET6,9.85,35.06,0.73,2.023,0.0752,0.304,2.26,-57.71,-0.99,-82.28,88.81,-0.0351,0.2067,1.95,-0.0062,0.0742,92613700.00,75253600000.00,0.63,-0.0896
295,RANI3,9.89,7.08,2.08,1.386,0.0389,0.920,3.22,6.42,-6.99,7.34,5.64,0.2159,0.1402,3.04,0.1928,0.2106,12898100.00,873086000.00,0.73,0.1059
296,RSUL4,9.92,75.00,8.68,1.636,0.00,1.675,13.22,8.55,-4.35,8.56,7.73,0.1913,0.1649,1.43,0.2224,0.8748,398305.00,50367000.00,0.26,0.2102
297,CRPG5,9.94,99.20,3.37,2.978,0.0497,2.471,3.54,11.66,4.59,9.97,9.09,0.2553,0.2995,7.38,0.3513,0.3394,3560440.00,852950000.00,0.00,0.1232
298,ELET3,9.97,35.47,0.74,2.046,0.0675,0.307,2.28,-58.38,-1.00,-82.95,89.53,-0.0351,0.2067,1.95,-0.0062,0.0742,190455000.00,75253600000.00,0.63,-0.0896
299,BEEF3,10.11,9.30,13.11,0.242,0.102,0.315,1.22,2.99,-1.08,5.84,5.00,0.081,0.0239,1.61,0.2194,1.2974,94914300.00,422925000.00,27.55,0.2093
300,COCE5,10.12,56.25,1.29,0.680,0.0376,0.429,-601.48,8.36,-1.10,13.57,8.20,0.0813,0.0671,1.00,0.0598,0.127,1166300.00,3406300000.00,0.90,0.1001
301,CRIV3,10.16,5.00,0.51,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0507,3523.47,1000120000.00,0.00,-0.0433
302,TGMA3,10.42,16.28,1.64,1.001,0.0532,1.045,3.80,7.62,8.39,7.55,6.52,0.1315,0.0959,2.31,0.1871,0.1571,8765830.00,656554000.00,0.36,0.0174
303,COCE3,10.44,58.00,1.33,0.701,0.0364,0.442,-620.20,8.62,-1.13,13.83,8.36,0.0813,0.0671,1.00,0.0598,0.127,747.91,3406300000.00,0.90,0.1001
304,ENGI3,10.47,14.43,3.20,1.153,0.0243,0.545,10.96,6.70,-0.98,10.50,7.98,0.1721,0.1205,1.25,0.0938,0.3052,134095.00,8190540000.00,2.32,0.1574
305,CTSA4,10.54,1.63,0.60,0.318,0.00,0.253,14.12,9.25,-1.90,19.16,11.66,0.0343,0.0301,1.04,0.0346,0.0572,93808.00,300760000.00,0.72,0.0769
306,WHRL3,10.55,6.81,5.12,0.931,0.0644,1.292,13.85,8.72,40.28,7.56,6.43,0.1068,0.0884,1.14,0.5587,0.4854,102066.00,1998990000.00,0.38,0.0383
307,BTTL3,10.68,20.19,7.92,0.546,0.00,1.535,19.75,9.55,-5.67,9.95,7.79,0.0571,0.0511,1.17,0.2256,0.7412,395854.00,37891000.00,1.12,0.3972
